username,timestamp,likes,video_url,content,sentiment
@ducdzk,05-07-2025,4,https://www.tiktok.com/@tippitivi/video/7525409031616335112,djt me 2025,NEG
@tn.kim.chi25,16-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,không phải tung tung tung sahur vị ta ta ta sahur,NEU
@khoinguyenkodien_214,07-06-2025,68,https://www.tiktok.com/@tippitivi/video/7525409031616335112,trung bình bên cam🥵,POS
@suabotcuabm_,10-06-2025,54,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Ảnh đeptraii nhưng ảnh….,POS
@nguyn.kim.thng451,10-06-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,"Dạ đoàn mình dư 2 chỗ lên núi nha, anh chị gì ơi mình di chuyển nhanh vào xe tránh mất thời giờ của những hành khách khác ạ, đúng rồi chỗ cuối. Rồi bác tài khởi hành đi ạ, à mà anh chị ơi đoàn mình tiến lên núi chắc sẽ tầm 1-2 tiếng nữa sẽ tới, anh chị vui lòng giữ trật tự trong suốt chuyến đi, cảm ơn anh chịSơn tinh đấm cũng không xuống, thủy tinh rút hết nước cũng không về, cháy rừng cũng không xuống, khỉ cũng không thèm chơi chung, điểm vùng đủ đỗ Bách Khoa, quê tới nổi điểm đủ đỗ Harvard, bỏ giấy trắng vẫn đổ Y, hướng nội suốt phần đời còn lại, nỗi nhục này lớn tới mức có thể làm lá chắn bảo vệ cho cả trái đất, nào lên chùa thấy đang quét lá đa, chui xuống đất giun nó còn đuổi, núi lửa phun cũng cắm lì ở trển, không biết bầu trời màu gì",POS
@tomgondo,25-06-2025,4,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Mấy thg này bị j vậy😑😑😑,POS
@jennifercabalquinto26,24-07-2025,5,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bro what dhoo this,NEG
@lindatruclinh,01-07-2025,2,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Bánh mỳ ram ram tài lộc quá lớn ta ta ta ta sahur quán,POS
@trn.th.hin631,25-07-2025,2,https://www.tiktok.com/@tippitivi/video/7525409031616335112,quái gì trà xanh đâu,NEG
@nguyenthingocmai2015,11-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Bạn Tao Khi Ở Bên 🍊 Về🙂🙂🙂🙂,POS
@tm.chin048,16-05-2025,9,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Lâu r ms lướt pk vd anh tippi,POS
@giaba381,25-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,mày chửi ai vậi,NEG
@lm.lanh8,25-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bánh mì ram ram tại sao lại không,NEU
@cristan.sargueza,17-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,610,POS
@nnl_2811,06-05-2025,3,https://www.tiktok.com/@tippitivi/video/7525409031616335112,"Dạ đoàn mình dư 2 chỗ lên núi nha, anh chị gì ơi mình di chuyển nhanh vào xe tránh mất thời giờ của những hành khách khác ạ, đúng rồi chỗ cuối. Rồi bác tài khởi hành đi ạ, à mà anh chị ơi đoàn mình tiến lên núi chắc sẽ tầm 1-2 tiếng nữa sẽ tới, anh chị vui lòng giữ trật tự trong suốt chuyến đi, cảm ơn anh chịSơn tinh đấm cũng không xuống, thủy tinh rút hết nước cũng không về, cháy rừng cũng không xuống, khỉ cũng không thèm chơi chung, điểm vùng đủ đỗ Bách Khoa, quê tới nổi điểm đủ đỗ Harvard, bỏ giấy trắng vẫn đổ Y, hướng nội suốt phần đời còn lại, nỗi nhục này lớn tới mức có thể làm lá chắn bảo vệ cho cả trái đất, nào lên chùa thấy đang quét lá đa, chui xuống đất giun nó còn đuổi, núi lửa phun cũng cắm lì ở trển, không biết bầu trời màu gì",POS
@dy7c3joc60bp,28-06-2025,7,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Ca này nặng,NEU
@bmlavoieujack97,28-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,trung bình short trên youtube,NEU
@baoly7659,27-05-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,rồi đoàn mình di chuyển lên núi giúp em nha,POS
@rangh_hn,04-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,khi 2 đứa bạn tao quay tic tốp kiểu:)),POS
@con_me_may_mun,05-06-2025,10,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tội thg bé😭,NEG
@t2t22t15,23-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,2 thk đều bị thk chủ tus bắt quay,POS
@cuocsonglangthang2,24-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,cậu bé kẹo dẻo ah,NEU
@nguyenhoangbao20111,16-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,kêu rồi cắn nữa viên thoii mà 😮‍💨,NEG
@jeynaboudiallo315,12-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Legrand 🤣🤣🤣,POS
@vkanhbank10,07-05-2025,4,https://www.tiktok.com/@tippitivi/video/7525409031616335112,rừng icon,POS
@user5188587672070,26-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,khóc thiệt hay khóc giả thế,NEG
@caclon_6677,09-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bên YouTube bili: buồn cười quá haha 🤣🤣😂😂❤️❤️❤️❤️🎉🎉🎉,POS
@user481923533,17-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Tội thằng bé,NEG
@gdhrurvc,01-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,ta ta ta Sanhur❌ Tung Tung Tung Sanhur✅,POS
@deocoten1234_a,24-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,mày bị yt short cấm rồi à?😭,NEG
@evatorreverde,04-06-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tata. sahur,POS
@userdelkfa9bnz,05-06-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,ta ta ta ta shur,POS
@ana.dhafiz,01-05-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,indo sendiri,POS
@yttiendungnguyen123555,27-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tatatata sahar ✅,POS
@hng.gamer7,28-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,em bé khổ nhất thế giới,NEG
@ph.nguyn.c25,10-07-2025,2,https://www.tiktok.com/@tippitivi/video/7525409031616335112,trẻ con thời nay,POS
@na95_2,19-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tippi hồi xưa t đâu😭😭,NEG
@nevim7277,28-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,I hate 2025,POS
@iluvbananasomuch1000,27-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bro what😭😂,NEG
@mark.anthony.moji0,26-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,that me,NEG
@mobile.legenf.fan,14-07-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,oh sos,NEU
@kin.long.lm,01-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bánh mì ram ram,POS
@uyn.trang322,23-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tung tung saver🥰,POS
@sibidihaha60,03-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,-1 thế hệ,POS
@jeno8810,15-07-2025,3,https://www.tiktok.com/@tippitivi/video/7525409031616335112,ძალიან მომწონს,POS
@trnhip57,25-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tiktok hay youtube vậy trời,NEG
@nurairissofia70,02-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,cx💝,POS
@tyeumeo090,26-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Đẹp trai nhưng…,POS
@hng395703,24-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Kid,POS
@cao.tri84,27-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Thế 50:5 bằng mấy,NEU
@duong.phamvan53,01-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,só,POS
@josefinamostaza1,10-05-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,Hi,POS
@romeo.castillo31,24-07-2025,1,https://www.tiktok.com/@tippitivi/video/7525409031616335112,tung tung tung tung tung sahur,NEU
@niyngal,06-06-2025,0,https://www.tiktok.com/@tippitivi/video/7525409031616335112,bro😅😅😂😂😂,POS
