username,avatar_url,content,likes,timestamp,parent_comment,video_url
@halien6368,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/eaf4b7b742db7eb03b3f9fb5346cda64~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=04815230&x-expires=1753603200&x-signature=7c941KYSLEXMui24lZV20792J%2FQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Trend này thấy mỗi Thanh Thuỷ giống búp bê nhất luôn.,3456.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@111111111111mnbvcx,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d1df0ee817bbea6ac479a88f73cc8fe2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4c597493&x-expires=1753603200&x-signature=nAvfAgF0ve1%2FsGHB8xYO5jY3BLs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,ko bà nào làm lại Thanh Thuỷ vì cổ đã đc quốc tế công nhận,1259.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@testnguoiyeu_uytin_hp,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/58d7ce3c06a99df5378be2bbb4a455e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bf7a6103&x-expires=1753603200&x-signature=sbuGPpVRg0xFbZhx%2B4qBu3snbE4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Trend này Thanh Thuỷ top 1 luôn😳😳,8193.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@me_bap_gao_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1ee1dc08d58d0735573d99ed5be13726~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=66d689e1&x-expires=1753603200&x-signature=H4J%2FJwihuBvWxz2DUZTq3bLzfN4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Bả đẹp mà nhìn vô ko giống búp bê lắm,11600.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@hocielts10.0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/299fab8d6c2c54de4c4d66a0e3cfd303~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=896df9bb&x-expires=1753603200&x-signature=7b8v9iBhRrBL5smio%2BsVELE83e8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Rep để ba mẹ trúng số,2104.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@t_h_u_y.d_u_o_n_g,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7348516428997689377~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f406f08e&x-expires=1753603200&x-signature=Wy9MAGtVXBZKZp13%2BN4xOtUWqbA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,"K ai qua dc Thanh Thuỷ, bàn tay của bã ik như bup bê thật chưa kể tới cái mặt luôn đó",3118.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@b.sc344,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c76e984b9bfd6a7bdf6d1232e5d43f18~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5f4f083c&x-expires=1753603200&x-signature=NUAqRR506hJ7%2FNq%2F2r1BzTb%2BNLs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,xoài non ý như búp bê nhựa luôn,67.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@phuc070196,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5841567ef96dc4dd422c6f00b885bafb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=035d6ad2&x-expires=1753603200&x-signature=LK48E%2BfFoWsLcaZclTk96f9XfTo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,"Con người cũng 9 người 10 kiểu. Búp bê cũng vậy. T thấy bà nào cũng xinh, rất xinh.",3943.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@claim5tyr,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a2344c57f91766d7005ac502ebab5ddf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=287a42f2&x-expires=1753603200&x-signature=KAdfofbr7isyxkMyxZiSLdR9RF8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,t vẫn thấy Thanh Thủy không giống búp bê nhất ☺️,17.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
@fanmessi2k128,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/225de581ae1e1e1dd58f510db7b628aa~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=faab2869&x-expires=1753603200&x-signature=Q%2FYNUvaZnZ2d2U4r7KQC8ZBq75A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,tim để gia đình mạnh khỏe 🍀🍀🍀🍀,415.0,,,https://www.tiktok.com/@quannguyenpuleofficial/video/7530194260478545153
