time_published,description,hashtags,video_url,username,nickname,music_title,music_link,likes,comments,shares
15-07-2025,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,"['#mongoland', '#đàlạt']",https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam,nhạc nền  - paullummeme,/music/nhạc-nền-paullummeme-7389223069463612176,2400000.0,5510.0,75100.0
17-07-2025,Xin lỗi được chưa?,['#tunvabong'],https://www.tiktok.com/@tunvabong/video/7528075024377449746,tunvabong,Tún và Bống đây!,nhạc nền  - Bin Yet quãi đạn 📸,/music/nhạc-nền-Bin-Yet-quãi-đạn-📸-7518000305552804625,600800.0,7494.0,189900.0
13-07-2025,một sự nhịn chính sự lành ok người ae,"['#tuanhung', '#tienbry', '#tiengbipbibat', '#huanhoahongbibat', '#huanhoahong', '#tungmit', '#chauvietcuong', '#duymanh', '#dungtroc', '#hiepden', '#thohatduymanh', '#kinggroup', '#nguyenphuonghang', '#duthien', '#casiduthien', '#giangho', '#chuyengiangho', '#tuanthanden', '#khabanh', '#gianghomang', '#gianghomang247']",https://www.tiktok.com/@gianghomang247/video/7526530375674268936,gianghomang247,GIANG HỒ MẠNG,nhạc nền  - GIANG HỒ MẠNG,/music/nhạc-nền-GIANG-HỒ-MẠNG-7526530419588958993,339400.0,7041.0,21000.0
18-07-2025,Bà vợ thua Pol Pot mỗi cái quốc tịch 😂,"['#giadinh', '#hanhphuc', '#vuive', '#haihuoc', '#cuocsong', '#plxhvn', '#phapluatxahoi']",https://www.tiktok.com/@plxhvn2/video/7528429064336493879,plxhvn2,Tin Nóng Hàng Ngày,nhạc nền  - Tin Nóng Hàng Ngày,/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7528429296617704205,225300.0,3448.0,55000.0
14-07-2025,Ở 1 góc nhìn khác:)),['#khanhlinhff'],https://www.tiktok.com/@khanhlinhtran02/video/7526923949041650952,khanhlinhtran02,Khánh Linh FF 🎀,nhạc nền - maryy  𖤐 - 𝐒𝐡𝐞𝐫𝐲𝐲 🎻,/music/nhạc-nền-maryy-𖤐-7486051269593942800,447300.0,4510.0,13100.0
14-07-2025,💆🏻‍♂️,[],https://www.tiktok.com/@fiqblink/video/7526917304177741063,fiqblink,₄₀₄ₑᵣᵣₒᵣ,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,/music/Jet2-Advert-7398162320411429664,7700000.0,50300.0,5000000.0
15-07-2025,Tập cuối.,"['#letuankhang', '#Cellphones']",https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,letuankhang2002,Lê Tuấn Khang,nhạc nền  - Lê Tuấn Khang,/music/nhạc-nền-Lê-Tuấn-Khang-7527259240907115281,3400000.0,46500.0,368400.0
16-07-2025,Tình hình của tiktoker Hà List sau 4 ngày nối lại bàn tay,"['#tintuc', '#tinnong', '#giangho', '#tiktoker', '#plxhvn', '#phapluatxahoi']",https://www.tiktok.com/@plxhvn2/video/7527623563017309453,plxhvn2,Tin Nóng Hàng Ngày,nhạc nền  - Tin Nóng Hàng Ngày,/music/nhạc-nền-Tin-Nóng-Hàng-Ngày-7527623588217310007,194600.0,8111.0,9309.0
17-07-2025,"Thanh niên tỉnh nhất trong đám, phát hiện Hồng tỷ là nam vội bỏ về","['#khaunghiep', '#dramin', '#hongty']",https://www.tiktok.com/@dramin.vn/video/7528012271671397639,dramin.vn,DRAMIN,nhạc nền  - DRAMIN,/music/nhạc-nền-DRAMIN-7528012308371606273,311700.0,4242.0,194100.0
20-07-2025,Đám ngày mưa bão 🥹,[],https://www.tiktok.com/@tramtruong175/video/7529020195206188306,tramtruong175,Trâm Trương,"Duyên Do Trời, Phận Tại Ta - The Masked Singer",/music/Duyên-Do-Trời-Phận-Tại-Ta-7299646998985361410,304200.0,14600.0,142900.0
15-07-2025,"Hướng Tới Môi Trường Xanh , Sạch ,Đẹp .","['#XeDien2025', '#NgungXeXang', '#TinNóngMỗiNgày', '#ThờiSự24h', '#ThờiSựHômNay', '#TinKhẩnCấp', '#CậpNhậtTinTức', '#ThếGiới24h', '#TinChínhTrị', '#TinAnNinh', '#TinQuốcTế', '#TinNóngChínhPhủ', '#TinTứcXãHội', '#PhânTíchThờiSự', '#ĐiểmNóngThếGiới', '#TinTứcMỗiGiờ', '#BreakingNewsVN', '#KhủngHoảngToànCầu', '#BìnhLuậnThờiCuộc', '#SựKiệnNổiBật', '#TinTứcMớiNhất', '#ThờiSựĐặcBiệt']",https://www.tiktok.com/@splivetinnong.com/video/7527190134572338439,splivetinnong.com,𝐒𝐏𝐋𝐈𝐕𝐄 𝐓𝐢𝐧 𝐍𝐨́𝐧𝐠,nhạc nền  - 𝐒𝐏𝐋𝐈𝐕𝐄 𝐓𝐢𝐧 𝐍𝐨́𝐧𝐠,/music/nhạc-nền-𝐒𝐏𝐋𝐈𝐕𝐄-𝐓𝐢𝐧-𝐍𝐨́𝐧𝐠-7527190184685767440,291200.0,47600.0,172700.0
19-07-2025,Unbox em búp bê,"['#QuanNguyenPuLe', '#QuanNguyenPuLeAcademy', '#hocvienQuanNguyenPuLe', '#thanhthuy', '#missinternational']",https://www.tiktok.com/@quannguyenpuleofficial/video/7528613552211512593,quannguyenpuleofficial,Quân Nguyễn - Pu Lê Official,nhạc nền  - Quân Nguyễn - Pu Lê Official,/music/nhạc-nền-Quân-Nguyễn-Pu-Lê-Official-7528613865907571472,616500.0,6284.0,17200.0
16-07-2025,Quả trend này ai đu lại được đây,"['#24hmedia', '#24hsports', '#thethaomoingay', '#vothuat', '#kungfu']",https://www.tiktok.com/@24h.sports/video/7527522782784113928,24h.sports,24h.Sports,Chill Melody - DJ ChiuChiu,/music/Chill-Melody-7385161226214770704,374400.0,1496.0,16000.0
19-07-2025,Chào đón bữa cơm bằng cơn bão,['#bãowhipa'],https://www.tiktok.com/@b.d.thuan/video/7528761894656658696,b.d.thuan,Thùn Thùn 😶‍🌫️,nhạc nền - Đì Va Quanh Ta,/music/nhạc-nền-7508227626058730257,419600.0,9959.0,392800.0
18-07-2025,Tàn canh gió lạnh 😭,[],https://www.tiktok.com/@cahebietnhayy/video/7528270506282274055,cahebietnhayy,Cá hề biết nhảy 🩵,nhạc nền - Vy kitty🤡 - Nguyễn Vy😔,/music/nhạc-nền-Vy-kitty🤡-7497872345080662785,350600.0,5867.0,36300.0
