user_info,content,likes,timestamp,parent_comment,video_url
"{'username': '@quch.nht.ho2', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d53f7d77b1759bd6d569d3d06a9fec8d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a0a0bfef&x-expires=1752670800&x-signature=fWuYiwzq5fe8y%2F6xZZOyC5jEVbU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",Thế là từ đây Phát La nghĩ ra clip 😆,83,7-6,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@mrthanh0750', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0d6439a094315bfa8de49029a7258138~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e67848cf&x-expires=1752670800&x-signature=uWdgPC4uiUmViyndCTyWku%2FyKOc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",Rồi hết ra clip dc luôn đi xa luôn rồi phát la làng ơi🤣🤣🤣😂😂😂,363,7-7,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@tranhoanggialong4_3_2025', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/751a8a0493fbc412ba5a795612482f2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=df6bbb62&x-expires=1752670800&x-signature=NOKpFI6bnYbCGMAwYUfzc2GpOM0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",cười chết😂,0,22m ago,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@longpham2..3', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/964095f8537a2f5d8a294d5a27d6892e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c94848dc&x-expires=1752670800&x-signature=OoILiHgttzzZZOT2ECwKoWcPtqk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",Vừa đc anh phát la mặc bộ cảnh gọi bảo lên trụ sở lấy lời khai,17,6d ago,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@lunxipo0943782868', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8199cee1c56a157620080002962014b8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b7c63d3c&x-expires=1752670800&x-signature=Kh6yEYnYyW2lwX9WrPE8g9u%2BUi8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",Ai nghe điện thoại phát la đào lửa chưa 😅😅😅,419,7-7,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@toancab', 'avatar_url': 'https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7321665563762753538~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9b040fb1&x-expires=1752670800&x-signature=6Os0ZAtVS8h6xtZBMyRXE0LqF%2BA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",sáng giờ anh em có thấy phát la gọi điện đào lửa không ?,4,7-7,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@brennschinken', 'avatar_url': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d88fb8a990f48a469c9a7c35896b8554~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=99f8af8d&x-expires=1752670800&x-signature=EWf1w55AxUUbaozv8aIuTdG64rc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",I don't understand what's going on. But I still think it's funny.😂😂,47,1w ago,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@thanh1806198', 'avatar_url': 'https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/078e380ea9b013a406238eab6ad43469~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6c93115c&x-expires=1752670800&x-signature=u%2BH1L%2BC3JrNlTGtt4dr7EV%2BW7zU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",Tầm 2 ngày nữa ko thấy Clip là đủ hiểu ở đâu rồi he 😂😂😂,510,7-7,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@lam.truong.2k', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3e7d76ce1e284558e7eace928a48925c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=787e213d&x-expires=1752670800&x-signature=dWrWx7H6%2FVqEASJeFeIxZK%2F77nI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",1 conten 3 góc quay 3 người đăng🤣🤣,2,8h ago,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
"{'username': '@fanmessi2k128', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/225de581ae1e1e1dd58f510db7b628aa~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ae70e009&x-expires=1752670800&x-signature=O8O%2Fwc0Dy9FKrpiGHZrfKbL%2F2YQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my'}",tim để gia đình mạnh khỏe 🍀🍀,1335,7-7,,https://www.tiktok.com/@sapgaobaobao/video/7523908343476325650
