username,avatar_url,content,likes,timestamp,parent_comment,video_url
@jvaytroi_1234?lang=en,,"bẹp bẹp bây giờ đổi tóc rồi, cắt tóc hushcut",16.4K,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@sen1239000?lang=en,,bẹp bẹp đổi tóc mới r,0,43m ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@h.thm.cute7?lang=en,,bẹp bẹp đổi tóc rối,184,4d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@sa.sussu?lang=en,,Lm như mỗi bẹp bẹp cắt tóc đó 😭😭😭,68,4d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@t.123450_?lang=en,,bẹp bẹp đổi tóc rồi nói chi vậy máy má mấy cha,53,4d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@yhendakxa?lang=en,,bộ chỉ bẹp bẹp được cắt tóc này thôi hả,5797,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@c.rt6400?lang=en,,bả xinh hơn con bẹp bẹp 🙄,872,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@_chitt.iw?lang=en,,tưởng bẹp bẹp lên núi ở🥰🥰,3200,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@bon._lmao._00?lang=en,,Tóc giống bẹp bẹp còn mặt giống ngọc bảo 🤡,42,5d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@ngocthaa234?lang=en,,ko nóng hả 🤡,8986,1w ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@teen.vinh5?lang=en,,"bẹp bẹp bây giờ đổi tóc rồi, cắt tóc hushcut",12,2d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@._.emyeu02?lang=en,,ủa mình bẹp bẹp được để tóc này à 😝,17,2d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@bnguyn135?lang=en,,ủa! ý là cứ tóc giống là làm bản sao á hả,3094,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@n.thanh_09?lang=en,,bạn này giống Bẹp Bẹp( Hân Bẹp ) vaiz,265,1w ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@.5th10?lang=en,,"ủa t thấy bth,lỡ như fan bẹp bẹp thì sau
sau cứ nói bắt trc vậy",5910,5d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@hoangthiphuongthao010?lang=en,,cố lên sắp giống bẹp bẹp rồii🥰,6,6d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@qunh.nh5738?lang=en,,phiên bản thứ 3 của bẹp bẹp,466,1w ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@chipne399?lang=en,,Cmt bị j à? Ai lm tóc này đều sẽ bị nói là bẹp bẹp?Ủa tóc tên Bẹp Bẹp à?,743,5d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@nh.xunn?lang=en,,nói vậy cái là đứng nhảy vậy hả 🥰,278,5d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@nguyn.bch.lam498?lang=en,,sao có người phái để tóc dống bẹp bẹp,4,2d ago,,https://www.tiktok.com/@vang.thi.xoa0/video/7524602155630660871
@thi.ph88?lang=en,,Linh đan xinh quá,205,1w ago,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@toman4443?lang=en,,Woa linh đan đây sao,169,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@.qanh.1?lang=en,,Chắc mình t thấy xinh🥰,6354,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@_kethuacuoctrongtinhyeu_?lang=en,,thấy nấm nhảy cuốn ý,1743,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@phng.iu095?lang=en,,lần đầu tiên thấy nấm nhảy,333,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@bongbongcutti?lang=en,,đây có phải là nấm diễn phim đúng ko ạ,936,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@khoaiiisu?lang=en,,6 thì flow,78,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@xinhyeuu30?lang=en,,2 mẹ con dthw cỡ đó,512,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@camapaaaaaaaa?lang=en,,ai thấy 6 thì tim,65,7-6,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@ttln2013?lang=en,,nhìn 2 bà cháu nhìn giống phim nào ý,73,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@cbe.hay.suyy6?lang=en,,Ai thấy xinh 💗,200,7-6,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@tui.2026?lang=en,,ai thấy cute thì tim ( chắc ko có 5 tim),6,3h ago,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@cuncherry?lang=en,,ai thấy đẹp thì tim,143,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@hi061441?lang=en,,Tui thấy 66666666666666666666666666666666666666666666666666666666666666666666666666666666666676666666,4,3d ago,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@hvwd00?lang=en,,tóc giả tóc 🥺,0,1h ago,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@qhn.h.linh?lang=en,,thấy Nấm diễn phim hay thật đấy,3,2d ago,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@ngclien6?lang=en,,🍄 +xinh gái+nhảy đẹp+diễn hay+đáng yêu+dễ thương+đáng đẹp+học giỏi,18,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@linh.le.2k14?lang=en,,Xem cháu nhảy ❌ xem bà nhảy✅,24,7-5,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
@haan8172?lang=en,,ê nấm nek trong phim ác mà sao nhảy đẹp zậy,1,7-7,,https://www.tiktok.com/@lehoa1297/video/7523433742342294802
