username,avatar_url,content,likes,timestamp,parent_comment,video_url,sentiment
@c_baa07,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6cc660a144ecca2a30135340a899d284~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=27feb376&x-expires=1755352800&x-signature=lEP9xJCMOtlRX7blvpzXfWypih8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,giống Lạnh Lùng Nhất TikTok,523.0,28-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@tam.mt.mt,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/562113369ccd6c28b844fa218a84cd57~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=be6c2594&x-expires=1755352800&x-signature=MVZuiRxzLr3O24QDTT9Q%2Fedj7Gs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"Kiểu up zô tường đó vào sâu lắm, tôi hay làm",67.0,12-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,NEG
@mun.mun4911,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d4d5f5790d91a5f41832b340374bd8fc~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bbe9d820&x-expires=1755352800&x-signature=nhUZkH2Bd55f01Het6slwRNBFlI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,áo chị bước vào sau cho em xin in4 với ạ🥺,3.0,18-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@nobitabentre1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2aaecc365d985ee0684204096214860a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d03170e&x-expires=1755352800&x-signature=nJ6SMyEA1tgvy9YcV3656DD0MPg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,😳 cũng tìm girl public ở tây ninh 🥵,6.0,01-08-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@boo54923,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4f88bd2f0501242a72b47c283e716d67~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a5b89d1&x-expires=1755352800&x-signature=S2J0AJjEBoMpvAf1Zv54fFk3tJ8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,quê thì ta nói uôi,2.0,14-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@truongsen97,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c53cc62be1cd5940e664573e05ed8144~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0e792f0a&x-expires=1755352800&x-signature=Jk5vThbF4DEsUw7YK7xtEv9ZDBk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Tui thích khúc cuối vì em chống tay vào cánh cửa làm tui tưởng tượng,13.0,28-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@ko_ton_tai148,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/58b431b11dc2c211c986cd2f6da9eadb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d2294bd9&x-expires=1755352800&x-signature=F5FHzOfaJ40RWjudXELIVkLWrM4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"dạ bên núi hết slot rồi,mình lên trời ở nha",8299.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,NEU
@khaiquan123,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/53c90c1443fb843290d88eaa1883249b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ea9375fc&x-expires=1755352800&x-signature=hTLIL4SmL2AJ3ICJsI%2FBsQEb5rg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,cũng đăng mà không ai ❤️😭,3.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,NEG
@qtram6122003,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6e56c799fb6b3b69415350f80a28812f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c3b07626&x-expires=1755352800&x-signature=LR3NVOe9mYSMrQFLG9YfZA9RTBs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Đâu ra gặp bản sao của mình z bà,21.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@kangooru_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1fec0ebc5a205c9f93ce4a9930d6d3c7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0736d58b&x-expires=1755352800&x-signature=ZkJ7NxE0XaFprqABooeOVL4Npks%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,mời đoàn mình lên núi vs em nha,5000.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@m.chin33,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0c3f06d6511a2c92186353c2851cc57f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c5c90008&x-expires=1755352800&x-signature=RQg%2F1P7wVU1Dp2Seneo8aCBclUI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,cho tui xin info bộ đồ bà đi. Bà hề quá 😂,2.0,25-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@saxommui,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2c685e3fbcee957abcd7af6d912b796b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6ebeb915&x-expires=1755352800&x-signature=nK3plXxV5EtALTX%2F%2FziokF18rxc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Xin link Set đồ với ạ,2.0,22-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,NEU
@vy.vy3198,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/074ebbdddef1554771e1565272da7d2c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d33161ce&x-expires=1755352800&x-signature=0qV%2F6Ji1lCX7n8i82Tj%2FH8GA7GQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Cho e xin link váy đi ạ,1.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@cafe.sa14,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f6ac91cf1206c99e9e58eac99682dc39~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=04c8bf99&x-expires=1755352800&x-signature=MTNrhnzlxt7T%2FqOPI4GmZn%2BO6N8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,giống thanh lanh bám kín 😌,3.0,13-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,NEG
@haidang..02,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8b5108beb3fc65f48f20fbb9cd5eb9de~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4bec32c9&x-expires=1755352800&x-signature=2IUJjqtdebiwGuNjvAnGLcu6sNw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Mở cửa ra cái là tôi là ai tôi đang ở đâu luôn:)),415.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@mlan238,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0d91d55d05e1f67fcfade6193634b4b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c03ee90&x-expires=1755352800&x-signature=eD46OyzzzsZGEvHza8sbsQFALJ4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Mình xin in4 váy đi b,4.0,30-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@cobethonail68,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/48a89c4a5fc0728be56f7f17d9e78c25~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=515c4e7b&x-expires=1755352800&x-signature=Voba3IW2dEAW2%2F7bxf8TrjxMdFE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,E xin inf túi c mang ạ,0.0,30-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@24th03211,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d5845ff0bdf3636d7da65ba6668b617d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3fdf9f3d&x-expires=1755352800&x-signature=TaDGRSFgUyIh1Geht3X0nH%2FQhfc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,xin intu cái đó đc hog,1.0,11-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@user8290240311482,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e845ffd9128e19b56b3a5f87411cc6e8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=777a2ebf&x-expires=1755352800&x-signature=ykO9lV%2Bgi%2FOQB2ur3wgvd%2BoPRH8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Қазақтар жоқ екен,7.0,12-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@nhhbt04,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d7f79c392cb6b7e0e517d76018cf8b3f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d4792c05&x-expires=1755352800&x-signature=dRiHhIz8NmkegBBbAkXz%2FbTqtx4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,bị gì vậy?,5.0,13-07-2025,,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,POS
@duongnguyen_tuananh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ca118e65ff4a373c9581819735b35054~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=53b3ce6a&x-expires=1755352800&x-signature=3lK0cFhqzIqW0sNet49moOnnYhA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,chút hơm ngon từ đâu,43.0,13-08-2025,,https://www.tiktok.com/@hariwonday/video/7537231701492239624,POS
@thanhhunhphong,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7230305561303547910~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0469a422&x-expires=1755352800&x-signature=vDavhTFrt%2F6TnrPkWewBHpJyC2M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,포기야,1.0,11-08-2025,,https://www.tiktok.com/@hariwonday/video/7537231701492239624,POS
