username,avatar_url,content,likes,timestamp,parent_comment,video_url
@kthyyy_meo?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/215ccec447d8ad7d50642198971fe2fc~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d0b6c2f&x-expires=1753455600&x-signature=DI4LFAdUI3GAKoUFdBCY%2Bip6srA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Tr ơi Matthias của t😫,229,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@pink_panther_1802?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bd7443ffbd4584940d0c81e5aab5ab39~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=baf23413&x-expires=1753455600&x-signature=aKh1FHei2JbHxoPrNqy9%2FkhjqSU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,matthias của e😭,73,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@aovso1?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ac03636be58bfa34c585edf7ff25e6e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d90a1e2&x-expires=1753455600&x-signature=XVPGiRoWHpD6YAPdV3sPo3s%2BQoM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,quá khứ của kẻ phản diện,299,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@hanne_evans?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fbfcfe615482330da23f1ce32aa94a45~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=03870555&x-expires=1753455600&x-signature=1SKEPxDYs6iE46U8hechwcE95Ak%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,loại bố kiểu jv??,545,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@jun.l81?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9d738848da9b9f62ee59c97359dd06ee~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fe257767&x-expires=1753455600&x-signature=m3GTkwyWIba0OsiPRlkQDPGfF2s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ổng... với thak con hả 😇,73,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@ryra667?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2e5da7d7752f1372d4e632eb7c065afa~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4351a42f&x-expires=1753455600&x-signature=aUGP0YL3ysH%2F33UQ4C%2FJ7pvqCzY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,😭 tk con còn ko tha chịu,2090,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@simp_vaggie_vagatha?lang=vi,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7137258d44fea3c836735a75c1909a99~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4bb67cad&x-expires=1753455600&x-signature=TCB8Z4nfJqe2OcmC2SMZ28Kr9Zk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ê !!!! có ai thấy tk tóc vàng giống armin ko 🤡,381,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@iuitoshisae_1512?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c1dd72c03e733686f812f7e66b77afaa~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2ba0069f&x-expires=1753455600&x-signature=DrVYv3ZMby7AbVOkLx8uN%2BCNSCY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"thương ẻm quãi😭, quá khứ của kẻ phản diện là đây sao😭😭",303,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@trnngc6043?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6b377e2ac46881872247902ad25206d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=735815e8&x-expires=1753455600&x-signature=MkCHUc1YztQ%2B6hzMzEnUgKwOcCk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Khoan hk bố làm làm j đứa con trai vậy😅,35,5 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
@thitgaham_?lang=vi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d062f25a14f85d4b1de76c20006d42d0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=02dccdc8&x-expires=1753455600&x-signature=Yjdy2a2SxOwkwBuNPlk4zG2U8NA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"vaiz đến thk con ổng còn ko tha ,triệu luông",2,4 ngày trước,,https://www.tiktok.com/@seishirowrr/video/7528432329287601464
