author,time_published,description,hashtags,music,engagement,video_url
"{'username': 'cheemstritue', 'nickname': 'Cheems trí tuệ'}",,Chuyện hạt dẻ,"['#cheems', '#xuhuong', '#viral']","{'title': 'nhạc nền  - Cheems trí tuệ', 'link': '/music/nhạc-nền-Cheems-trí-tuệ-7528367505690069761'}","{'likes': '74.4K', 'comments': '544', 'shares': '1640'}",https://www.tiktok.com/@cheemstritue/video/7528367473939336455
"{'username': 'manh6trai', 'nickname': 'Mạnh 6 Try'}",,Anh đánh đổi cả tương lai… tôi ko giấu nữa nhé,"['#manh6try', '#myoutfit', '#viral', '#jack', '#j97']","{'title': 'nhạc nền  - thu', 'link': '/music/nhạc-nền-thu-7495745468371061520'}","{'likes': '305.8K', 'comments': '3445', 'shares': '39.1K'}",https://www.tiktok.com/@manh6trai/video/7529485621119798535
"{'username': 'anhtuan6601', 'nickname': '⚡Nguyễn Tuấn👑💥'}",,Cái Kết đắng,"['#bonguyentuan', '#nguyễntuấntócboyphố', '#xuhuong', '#màunhuộmnguyễntuấn', '#tóchêutràngtiền', '#xiang', '#hoangcuubao']","{'title': 'nhạc nền  - BECK SHOP VN', 'link': '/music/nhạc-nền-BECK-SHOP-VN-7525769469126986497'}","{'likes': '36.5K', 'comments': '165', 'shares': '1168'}",https://www.tiktok.com/@anhtuan6601/video/7529764247136423175
"{'username': 'puntay20', 'nickname': 'Pun thích nhảy cùng tây'}",,Ói òi oi,[],"{'title': 'nhạc nền - DCee Gia Huy', 'link': '/music/nhạc-nền-7523926719661607681'}","{'likes': '151.7K', 'comments': '735', 'shares': '36.9K'}",https://www.tiktok.com/@puntay20/video/7528326499716451601
"{'username': 'baongoc_daily', 'nickname': 'Bảo Ngọc'}",,Lần đầu hát của#,['#baongoc'],"{'title': 'nhạc nền  - Bảo Ngọc', 'link': '/music/nhạc-nền-Bảo-Ngọc-7528365480038615825'}","{'likes': '345.3K', 'comments': '6476', 'shares': '13.4K'}",https://www.tiktok.com/@baongoc_daily/video/7528365325579078913
"{'username': 'hoanglananh31', 'nickname': 'Hoàng Lan Anh'}",,dc:,['@ᯓᡣ𐭩ʜɴɢᴛʀᴀɴɢᶻ 𝗓 𐰁 .ᐟ'],"{'title': 'nhạc nền - ᯓᡣ𐭩ʜɴɢᴛʀᴀɴɢᶻ 𝗓 𐰁 .ᐟ - user46747890501', 'link': '/music/nhạc-nền-ᯓᡣ𐭩ʜɴɢᴛʀᴀɴɢᶻ-𝗓-𐰁-ᐟ-7526373839069121297'}","{'likes': '840.9K', 'comments': '7503', 'shares': '21.4K'}",https://www.tiktok.com/@hoanglananh31/video/7528642702330678535
"{'username': 'mai_nguyen.05', 'nickname': 'Maili'}",,Em nộp bài ạ,['@Bin Yet quãi đạn 📸'],"{'title': 'nhạc nền  - Bin Yet quãi đạn 📸', 'link': '/music/nhạc-nền-Bin-Yet-quãi-đạn-📸-7518000305552804625'}","{'likes': '208.6K', 'comments': '1071', 'shares': '4305'}",https://www.tiktok.com/@mai_nguyen.05/video/7528765194709781767
"{'username': 'quynhanh24250490', 'nickname': 'TRINH QUYNH BEAUTIFUL'}",,Dú trend cùng tồng iuuuu🤭,[],"{'title': 'nhạc nền  - TRINH QUYNH BEAUTIFUL', 'link': '/music/nhạc-nền-TRINH-QUYNH-BEAUTIFUL-7528035854780320528'}","{'likes': '75.8K', 'comments': '288', 'shares': '548'}",https://www.tiktok.com/@quynhanh24250490/video/7528035836617608455
"{'username': 'ig.khalac248', 'nickname': 'Khả Lạc 🇰🇷'}",,gian đởn,[],"{'title': 'Cầm Hùng đẹc tray nhấc vùn cau - Cầm Hùng', 'link': '/music/Cầm-Hùng-đẹc-tray-nhấc-vùn-cau-7435219903134599966'}","{'likes': '388K', 'comments': '2319', 'shares': '36.5K'}",https://www.tiktok.com/@ig.khalac248/video/7525101002387868946
"{'username': 'luongthingocha', 'nickname': '𝐍𝐠𝐚̂𝐧 𝐇𝐚̀ 🍌'}",,Nên thôi cứ thế ta biệt ly 👌,[],"{'title': 'nhạc nền  - *ੈ✩‧₊˚\u2002lin♡\u2002⋆｡˚ ༘\u2002*', 'link': '/music/nhạc-nền-ੈ✩‧₊˚-lin♡-⋆｡˚-༘-7517503104842844944'}","{'likes': '96.9K', 'comments': '471', 'shares': '2799'}",https://www.tiktok.com/@luongthingocha/video/7529133508359359751
