username,avatar_url,content,likes,timestamp,parent_comment,video_url,sentiment
@thuhuong2402,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f56fdb05880ad93a5a545ee3734235e2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=38308e61&x-expires=1752678000&x-signature=DnqlyoxX3%2BWOj3a2V863NjUP0nw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Để ý ko có ai đội mũ. Trên xe hình như cũng ko có mũ,1597,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,NEU
@knight_roran,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9b6bd09c0c0f2c4968ab9082207f576c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=79f4835f&x-expires=1752678000&x-signature=Ps2xSKbJtgqFxpswA9qpN%2BZK3PI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ủa có thấy chạm vạch đâu?,39,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@tuyen01082005,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/422e2741b314860e0992c077b167d323~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8999ab54&x-expires=1752678000&x-signature=cqugOKoflx3MHimUzFUU4brE%2Bfk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ủ tui là ng trong video nè má bữa đó thi thử mà alo,61,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@20121992an,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6cb5ae16740d3a74e644bacffb5baf60~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6cf1649d&x-expires=1752678000&x-signature=WOipFb09OCxcWMLdPXUz2MaaWww%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,xe 04 thi trượt 😂,9,30-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@jna_0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e2dc9434b4904b9bdc2be7f94a219bab~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=298f23d3&x-expires=1752678000&x-signature=QwTgoDhtj4NBmyVmLbjZ0T3qbFQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Bữa nay thi bằng lái xe không phải đội mũ bh luôn hả,2764,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,NEU
@deotinvaodoi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b2b79ce4b64234d19a2ae56ceea9a8da~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3583077b&x-expires=1752678000&x-signature=jlevZffBYejCbhC5dZxq6g1rFNw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ko đội mũ thấy rớt r=))),12,29-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@thiphan_1m58,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/479aee2f54d32179006cf9d988236743~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dcb77301&x-expires=1752678000&x-signature=6cW2sfG2cPz1jSrmMOrMMT3ldJQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Tôi vào cái 3s đã xong 🥴🥴,10,29-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@z_931993,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f12f55de541d65869578eb389a3b539b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6e91e97c&x-expires=1752678000&x-signature=N2H1YygO%2F05WaRx3r5geCrql3tU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"Sao lại xe 04 chạm vạch nhỉ, thấy đi đúng r mà 🤔",0,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,POS
@chimnon777,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7335235937900691476~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c0d6f2ac&x-expires=1752678000&x-signature=HVz9MuOJ3zTlfOD4UYl5M4%2F1EAM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,đợt thi bằng lái xe máy tới cái đoạn gập gềnh này thấy mấy xe trước dễ tắt máy. tui rồ qua chạy ầm ầm ầm ầm qua. xong nghe bịch bịch ngó lại thấy bình acquy rớt phía sau (acquy cấp điện cho bảng mạch đếm lỗi). lặng lẽ chạy về đá chóng để nguyên máy nổ ko dám tắt. 😏😏😏,110,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,NEG
@tintin2424h,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4021c5e55a35989e09110f6c82133099~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=be6ff31d&x-expires=1752678000&x-signature=igFIFTe9chbN%2B8vg4IuPwAhW9IM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"Chỗ này thi sao ko đội mũ bh nhỉ, chỗ mình thi mà ko đội mũ họ cho trượt luôn",132,07-07-2025,,https://www.tiktok.com/@plxhvn2/video/7524219031616900366,NEU
