lsauthor,time_published,description,hashtags,music,engagement,video_url
"{'username': 'gum.cohy', 'nickname': 'G U M 🍬'}",,Thúi tới mai luôn á 🤣🤣🤣,"['#thumonvietnam', '#trantrungkien', '#u23vietnamvodich', '#yeubongda']","{'title': 'nhạc nền  - G U M 🍬', 'link': '/music/nhạc-nền-G-U-M-🍬-7533086903135308561'}","{'likes': '59.8K', 'comments': '167', 'shares': '3892'}",https://www.tiktok.com/@gum.cohy/video/7533086804333939986
"{'username': 'tung6686868', 'nickname': 'Tùng Tùng'}",,Vẫn chăn bò,"['#xuhuong', '#xuhuongtiktok', '#trending', '#trendingtiktok', '#cnc']","{'title': 'nhạc nền  - Duy Nguyễn team', 'link': '/music/nhạc-nền-Duy-Nguyễn-team-7506224089833556753'}","{'likes': '28.2K', 'comments': '841', 'shares': '13.7K'}",https://www.tiktok.com/@tung6686868/video/7532693590963719431
"{'username': 'thainho_96', 'nickname': 'thainho_96'}",,Lỡ như …,[],"{'title': 'Sa vào nguy hiểm - Vân Mộng ( 云梦 )', 'link': '/music/Sa-vào-nguy-hiểm-7342554481915104001'}","{'likes': '276.7K', 'comments': '8053', 'shares': '33.7K'}",https://www.tiktok.com/@thainho_96/video/7533604749019680007
"{'username': 'tranthituyetngan_9chu', 'nickname': 'TUYẾT NGÂN 💋'}",,Kkkkk,[],"{'title': 'nhạc nền  - TUYẾT NGÂN 💋', 'link': '/music/nhạc-nền-TUYẾT-NGÂN-💋-7532821447012158225'}","{'likes': '30.5K', 'comments': '145', 'shares': '454'}",https://www.tiktok.com/@tranthituyetngan_9chu/video/7532821373366947073
"{'username': 'islam.eldeh.babies', 'nickname': 'islam eldeh babies'}",,baby first moments of life,[],"{'title': 'الصوت الأصلي - islam eldeh babies', 'link': '/music/الصوت-الأصلي-7532495701452786455'}","{'likes': '160.9K', 'comments': '2198', 'shares': '9689'}",https://www.tiktok.com/@islam.eldeh.babies/video/7532495700307807510
"{'username': 'hettienroi1106', 'nickname': 'hettienroi1106'}",,Phá đảo thế giới ảo ☠️,"['#CapCut', '#ktq', '#bida']","{'title': 'nhạc nền  - hettienroi1106', 'link': '/music/nhạc-nền-hettienroi1106-7532337982570007297'}","{'likes': '106.7K', 'comments': '1024', 'shares': '24.9K'}",https://www.tiktok.com/@hettienroi1106/video/7532337951049633042
"{'username': 'baoanh.samsam', 'nickname': 'Sam Sam'}",,Em gái của chị đu trend nè,"['#baoanhsam', '@Lê Thị Khánh Huyền']","{'title': 'original sound - MayBE8Later>W<', 'link': '/music/original-sound-7399755528731233066'}","{'likes': '470.1K', 'comments': '1150', 'shares': '39.1K'}",https://www.tiktok.com/@baoanh.samsam/video/7530903993686478098
"{'username': '24h.sports', 'nickname': '24h.Sports'}",,Thảo mai nhất Trung Quốc luôn,"['#24hmedia', '#24hsports', '#thethaomoingay', '#sportsontiktok', '#aquaselin']","{'title': 'original sound  - 24h.Sports', 'link': '/music/original-sound-24hSports-7531395292998978305'}","{'likes': '79.7K', 'comments': '1168', 'shares': '12.8K'}",https://www.tiktok.com/@24h.sports/video/7531395269699570962
"{'username': 'alexis_goye', 'nickname': 'alexis_goye'}",,Elle m’a sous estimé ..,[],"{'title': 'Bad Boys (Theme from Cops) - Inner Circle', 'link': '/music/Bad-Boys-Theme-from-Cops-6819561132705974273'}","{'likes': '7M', 'comments': '16.7K', 'shares': '413.8K'}",https://www.tiktok.com/@alexis_goye/video/7532603432293666070
"{'username': 'tuanjp1505', 'nickname': 'Đỗ Tuấn tokutei 19 🇻🇳🇯🇵'}",,Trả lời,"['@Băng băng🇯🇵', '#chiasenhungcauchuyenvenhatban🇻🇳✈️🇯🇵', '#dinhatcungTuan🇯🇵✈️']","{'title': 'nhạc nền  - 𝘼𝙧𝙞𝙚𝙨', 'link': '/music/nhạc-nền-𝘼𝙧𝙞𝙚𝙨-7507280485283482385'}","{'likes': '18.5K', 'comments': '1586', 'shares': '1989'}",https://www.tiktok.com/@tuanjp1505/video/7533765076457655560
"{'username': 'thaygiao3172000', 'nickname': 'Thầy Giáo Mỹ Khánh 🍏'}",,“Chị ấy bảo muốn cần ai đó đi chung”,"['#xuhuong', '#thaygiaomykhanh', '#dulich', '#thamtruotcauvong', '#langdulichmykhanh']","{'title': 'nhạc nền  - Thầy Giáo Mỹ Khánh 🍏', 'link': '/music/nhạc-nền-Thầy-Giáo-Mỹ-Khánh-🍏-7533884740923886337'}","{'likes': '62.4K', 'comments': '256', 'shares': '1710'}",https://www.tiktok.com/@thaygiao3172000/video/7533884671789206791
"{'username': 'okwinbantinnhanh', 'nickname': 'OKWIN Bản Tin Nhanh'}",,,"['#bantinnhanh', '#hunsen', '#xuhuongg', '#chinhtri', '#campuchia', '#quansuthegioi', '#chientranh']","{'title': 'nhạc nền  - OKWIN Bản Tin Nhanh', 'link': '/music/nhạc-nền-OKWIN-Bản-Tin-Nhanh-7531351033806064401'}","{'likes': '24.7K', 'comments': '333', 'shares': '1204'}",https://www.tiktok.com/@okwinbantinnhanh/video/7531351005389360391
"{'username': 'hongdrama01_', 'nickname': 'Giấu Sự Thật ?'}",,Nhắc lại một chút về MV CHÚNG TA CỦA HIỆN TẠI. Không biết TBT có đến xem ST quay không mà nhân viên hôm đấy TỰ GIÁC NHÁY MẮT NHAU. Ad nên bóc kẻ tham t/i/e/n bịt miệng đặc quyền cho talent của M_TP trước hay là Trà xanh đây?,['#chuabiet'],"{'title': 'nhạc nền  - Giấu Sự Thật ?', 'link': '/music/nhạc-nền-Giấu-Sự-Thật-7534148740614015760'}","{'likes': '32.8K', 'comments': '331', 'shares': '1453'}",https://www.tiktok.com/@hongdrama01_/video/7534148707541929223
"{'username': 'giadunggiarebupbip', 'nickname': 'Gia dụng giá rẻ búp bíp'}",,Khổ nhất thế gian,[],"{'title': 'nhạc nền  - Mẹ Châu Quân', 'link': '/music/nhạc-nền-Mẹ-Châu-Quân-7524931731494046465'}","{'likes': '20.7K', 'comments': '506', 'shares': '8948'}",https://www.tiktok.com/@giadunggiarebupbip/video/7532387305466694919
"{'username': 'funnydouyin520', 'nickname': 'Góc nhỏ tấu hài'}",,Learned from others online😅,"['#xuhuong', '#xuhuongtiktok', '#thinhhanh', '#foryou', '#funny']","{'title': 'nhạc nền - Góc nhỏ tấu hài', 'link': '/music/nhạc-nền-7531898729020885777'}","{'likes': '460.9K', 'comments': '2597', 'shares': '116.6K'}",https://www.tiktok.com/@funnydouyin520/video/7531898665737211144
"{'username': 'b.btep22', 'nickname': 'Mẹ tôm 🦐 tép 🦐'}",,túi sữa chua dành cho người mới học,"['#buộc', '#xaykenhtiktok', '#metom🦐tep🦐', '#xuhuong']","{'title': 'Nắng Dưới Chân Mây - Nguyễn Hữu Kha', 'link': '/music/Nắng-Dưới-Chân-Mây-7522405857486866448'}","{'likes': '7305', 'comments': '85', 'shares': '310'}",https://www.tiktok.com/@b.btep22/video/7532310022676679943
"{'username': 'ngzxan_', 'nickname': 'An Nguyen'}",,Đố biết ai ngồi sau trèo thuyền á 😝,"['#levythucsan', '#nala', '#fyp']","{'title': 'original sound  - An Nguyen', 'link': '/music/original-sound-An-Nguyen-7531731926391343888'}","{'likes': '122.7K', 'comments': '395', 'shares': '18K'}",https://www.tiktok.com/@ngzxan_/video/7531731898025004306
"{'username': 'huynh1234567.89', 'nickname': 'Nguyễn Huynh'}",,Nam mô a di đà phật 🙏🙏🙏🙏,['#xuhuongtiktok'],"{'title': 'suara asli  - Yuli Yanti65', 'link': '/music/suara-asli-Yuli-Yanti65-7278582383346993926'}","{'likes': '33.9K', 'comments': '3011', 'shares': '9204'}",https://www.tiktok.com/@huynh1234567.89/video/7531452690543480071
"{'username': 'thaynamlumvechai', 'nickname': 'Nguyễn thành nam'}",,,['#xuonghuongtiktok'],"{'title': 'nhạc nền  - Nguyễn thành nam', 'link': '/music/nhạc-nền-Nguyễn-thành-nam-7532007236227418896'}","{'likes': '4108', 'comments': '103', 'shares': '317'}",https://www.tiktok.com/@thaynamlumvechai/video/7532007214622493960
"{'username': 'mustsharenews', 'nickname': 'MustShareNews'}",,"Fortunately, the man survived the impact and is receiving treatment at a hospital.","['#mustsharenews', '#sgfyp', '#india', '#ontheroad']","{'title': 'original sound  - MustShareNews', 'link': '/music/original-sound-MustShareNews-7532415380028017424'}","{'likes': '381.5K', 'comments': '14.9K', 'shares': '57.5K'}",https://www.tiktok.com/@mustsharenews/video/7532415311857847572
"{'username': 'oanhgau188', 'nickname': 'Oanh Gấu 🐼'}",,"Em là Oanh Gấu, chị là Oanh Bear =))))","['#LearnOnTiktok', '#TikTokGiaiTri', '#goclamdep']","{'title': 'nhạc nền  - thuỷ bến cát', 'link': '/music/nhạc-nền-thuỷ-bến-cát-7521683109708925712'}","{'likes': '161.2K', 'comments': '2063', 'shares': '2152'}",https://www.tiktok.com/@oanhgau188/video/7530862545779903752
"{'username': 'okwintintuctonghop', 'nickname': 'OKWIN TIN TỨC TỔNG HỢP'}",,,"['#quansuthegioi', '#campuchia', '#hunsen', '#chinhtri', '#tintuctonghop']","{'title': 'nhạc nền  - OKWIN TIN TỨC TỔNG HỢP', 'link': '/music/nhạc-nền-OKWIN-TIN-TỨC-TỔNG-HỢP-7532086950191254288'}","{'likes': '33.7K', 'comments': '0', 'shares': '935'}",https://www.tiktok.com/@okwintintuctonghop/video/7532086913075891463
"{'username': 'th.nghiane', 'nickname': 'Thuận Nghĩa nè'}",,Nhắm mắt lại là không thấy đường,[],"{'title': 'Funny - Gold-Tiger', 'link': '/music/Funny-6927016038370428930'}","{'likes': '102K', 'comments': '948', 'shares': '83.4K'}",https://www.tiktok.com/@th.nghiane/video/7533181148554415361
"{'username': 'bacgau1989', 'nickname': 'BÁC GẤU'}",,Được,"['#gamingontiktok', '#freefire', '#bacgau', '#freefirexuyenviet']","{'title': 'nhạc nền  - BÁC GẤU', 'link': '/music/nhạc-nền-BÁC-GẤU-7533798940295187201'}","{'likes': '180.1K', 'comments': '5739', 'shares': '15.3K'}",https://www.tiktok.com/@bacgau1989/video/7533798908116438280
"{'username': '6chs_1', 'nickname': '6 con hàu sữa'}",,ê nha,"['#blockblast', '#hungrystudio', '#blockblastlove']","{'title': 'nhạc nền  - 6 con hàu sữa', 'link': '/music/nhạc-nền-6-con-hàu-sữa-7529415735173614337'}","{'likes': '32.9K', 'comments': '442', 'shares': '3865'}",https://www.tiktok.com/@6chs_1/video/7529415653778935060
"{'username': 'con_la_min_ne', 'nickname': '🦄Em bé Min Min🦄'}",,Hồi bầu ăn cơm bằng chén  sao giờ đẻ ra cái tô vậy bây 🙂,"['#embedangyeu', '#embehaihuoc', '#embeminmin', '#chamcon', '#xuhuong']","{'title': 'nhạc nền  - 🦄Em bé Min Min🦄', 'link': '/music/nhạc-nền-🦄Em-bé-Min-Min🦄-7528777468955347728'}","{'likes': '267.3K', 'comments': '6290', 'shares': '213.7K'}",https://www.tiktok.com/@con_la_min_ne/video/7528777415246613781
"{'username': 'dvoeplay', 'nickname': 'Наташа и Вова | DvoePlay'}",,Tetris Tumble XL #boardgame #настольнаяигра #game #игра #настолка #play,[],"{'title': 'оригинальный звук  - Наташа и Вова | DvoePlay', 'link': '/music/оригинальный-звук-Наташа-и-Вова-DvoePlay-7531384233736440593'}","{'likes': '815.3K', 'comments': '851', 'shares': '37.2K'}",https://www.tiktok.com/@dvoeplay/video/7531384043502406913
"{'username': None, 'nickname': None}",,,[],"{'title': None, 'link': None}","{'likes': None, 'comments': None, 'shares': None}",https://www.tiktok.com/@gia_dung_viet_nam/video/7528424763036208391
"{'username': 'po.trann77', 'nickname': 'Trần Thanh Tâm'}",,Cùng bước sang tam cá nguyệt thứ 3 nào 🫶,"['#tranthanhtam', '#antamfamily', '#metaverseentertainment']","{'title': 'nhạc nền  - nhỏ này tên Vân♒️', 'link': '/music/nhạc-nền-nhỏ-này-tên-Vân♒️-7511199848763247376'}","{'likes': '58.6K', 'comments': '499', 'shares': '483'}",https://www.tiktok.com/@po.trann77/video/7533239824380169493
"{'username': 'shaga_lin', 'nickname': 'shaga_lin'}",,"Rayyan Arkan Dikha, Anak Tari Jalur Tuah Khogi Dubalang Ghajo Desa Pintu Gobang Kari, Kacamatan Kuantan Tengah yang viral di seluruh Dunia dengan Hastag","['#aurafarming', '#pacujalurkuantansingingi', '#viral', '#Aurafarming', '#pacujalurmenyapadunia']","{'title': 'AURA - Ogryzek', 'link': '/music/AURA-7387573619378046993'}","{'likes': '1.5M', 'comments': '12.9K', 'shares': '35.1K'}",https://www.tiktok.com/@shaga_lin/video/7525286606220037381
"{'username': 'elena.in.vietnam', 'nickname': 'Elena ở Việt Nam 🇻🇳'}",,chữ viết tay sẽ làm bạn khóc 😭🤪,"['#tiengnga', '#chuviettay']","{'title': 'Axel F - Crazy Frog', 'link': '/music/Axel-F-6946269169415457542'}","{'likes': '16.6K', 'comments': '423', 'shares': '3015'}",https://www.tiktok.com/@elena.in.vietnam/video/7533202828987239687
"{'username': 'nhatduyy_2', 'nickname': '𝑵𝒉𝒂𝒕'}",,,['#chuyenchungminh'],"{'title': 'nhạc nền - 音乐🎧💤 - Anhhhhh🎧', 'link': '/music/nhạc-nền-音乐🎧💤-7488726815189863174'}","{'likes': '137.1K', 'comments': '5553', 'shares': '22.9K'}",https://www.tiktok.com/@nhatduyy_2/video/7532095738738691335
"{'username': 'ttinflyou', 'nickname': 'Chú Tín'}",,Em Tín,[],"{'title': 'nhạc nền  - Tường Duy', 'link': '/music/nhạc-nền-Tường-Duy-7525102598555650832'}","{'likes': '112.3K', 'comments': '1690', 'shares': '28.3K'}",https://www.tiktok.com/@ttinflyou/video/7533541363539873042
