crawl_date,video_url,username,nickname,short_description,music_title,video_likes,video_comments,video_shares,total_engagement,rank_by_date,total_comments,positive_comments,negative_comments,neutral_comments,positive_pct,negative_pct,neutral_pct,total_comment_likes,avg_comment_likes,sentiment_score
2025-07-18,https://www.tiktok.com/@bugcat_capoo_official/video/7525796290240711942,bugcat_capoo_official,BugCat Capoo,Eraser dust Bugcat grows up,原聲  - BugCat Capoo,1200000,1640,150400,1352040,7,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@cosmonapolitan/video/7525842323725503766,cosmonapolitan,cosmoPOLitan,0 to 100 real quick … real quick ….,NEXT! - NCTS,721300,4296,422100,1147696,9,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@gulkhanabukhan/video/7526142718343433478,gulkhanabukhan,Gulkhan Abukhan,Звук топ 🤣🙏🏻,оригинальный звук - Zangar,5500000,8154,173800,5681954,2,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,letuankhang2002,Lê Tuấn Khang,Tập cuối.,nhạc nền  - Lê Tuấn Khang,2800000,38200,308200,3146400,3,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@memekingdomtv/video/7524159460756049160,memekingdomtv,MemeKingdom,Tung tung tung Sahur just made the biggest mistake of his life! 😡,original sound  - MemeKingdom,2000000,38500,762400,2800900,4,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,mikaylaallisonn,Mikayla Reno,10/10 experience,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,4900000,35600,1900000,6835600,1,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@phamquynhhoaa/video/7519074933436058898,phamquynhhoaa,Quỳnh Hoa,Dăm ba cái kỹ thuật này nhằm nhò gì,大展鴻圖(Blueprint Supreme) - 攬佬SKAI ISYOURGOD & AR劉夫陽,1000000,4646,26300,1030946,10,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@redbull/video/7525781895959891222,redbull,Red Bull,falling head over wheels for this 🫠,original sound  - Red Bull,2400000,13800,205600,2619400,5,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@ricoanimations0/video/7525829306556108040,ricoanimations0,Rico Animations,Asian Bieber! 😀,original sound - Rico Animations,1500000,9783,286500,1796283,6,0,0,0,0,,,,0.0,0.0,0
2025-07-18,https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,nhạc nền  - paullummeme,1100000,3371,47300,1150671,8,0,0,0,0,,,,0.0,0.0,0
