time_published,description,hashtags,video_url,username,nickname,music_title,music_link,likes,comments,shares
,The women you will fall in love with,"['#luziwei', '#Meme', '#fyp', '#girl', '#women', '#beautiful', '#country']",https://www.tiktok.com/@luziwei99/video/7536592126797237526,luziwei99,LuZiwei,original sound - LuZiwei,/music/original-sound-7536592111110753046?lang=eng,218500.0,1256.0,13700.0
,🦊,[],https://www.tiktok.com/@linhtayy86/video/7535397099005955336,linhtayy86,Linh Tâyy,nhạc nền  - Linh Tâyy,/music/nhạc-nền-Linh-Tâyy-7535397151317248769?lang=eng,53300.0,186.0,2295.0
,Only real ones stay long enough to get addicted 🔁,"['#fyp', '#foryou', '#beauty']",https://www.tiktok.com/@daisyeded4i/video/7531029540882107678,daisyeded4i,daisy,Cool for summer x Pony - Kuya Magik No1 🪄,/music/Cool-for-summer-x-Pony-7075534292511689498?lang=eng,191700.0,913.0,14900.0
,,"['#xhtiktok', '#fyp']",https://www.tiktok.com/@himz_1205/video/7537265078085684487,himz_1205,Himzzz,nhạc nền - himz_1205 - Himzzz,/music/nhạc-nền-himz1205-7537265112869210881?lang=eng,45000.0,402.0,4867.0
,Chúc mừng các đồng chí đã hoàn thành xuất sắc nhiệm vụ đầu tiên🫶🏻,"['#siquanchinhtri', '#xuhuong']",https://www.tiktok.com/@nth22_03/video/7535675591769591048,nth22_03,Huyền!!,nhạc nền  - Nào đẹp trai đổi tên 😀,/music/nhạc-nền-Nào-đẹp-trai-đổi-tên-😀-7532435733975141136?lang=eng,41800.0,883.0,1336.0
,Yêu thương nhau gì đâu mà chỉ toàn là niềm đau,"['#duthien', '#yeuthuongnhaugidau', '#trending']",https://www.tiktok.com/@danphuongshop3636/video/7535419074357103880,danphuongshop3636,Đan Phượng Shop,nhạc nền  - Tường Duy,/music/nhạc-nền-Tường-Duy-7525102598555650832?lang=eng,25600.0,156.0,410.0
,thysovantha đưa ra các bằng chứng việc làm của hunsen,"['#tintinhbao', '#hunsen', '#vobehunsen', '#thysovantha', '#humanet', '#humanetthysovanthalovestory']",https://www.tiktok.com/@tintinhbao8kb/video/7537220131924086023,tintinhbao8kb,Tin Tình Báo_8̟K̟B̟E̟T̟,nhạc nền - user73732527614 - Tin Tình Báo_8̟K̟B̟E̟T̟,/music/nhạc-nền-user73732527614-7537220159384505089?lang=eng,29700.0,797.0,1441.0
,"Về Bản Liền liền nè, anh Jun, anh Rhymastic, anh Nam đợi emmmmm. Khánh tới đâu rồi?","['#NgocThanhTam', '#GiaDinhHaha']",https://www.tiktok.com/@ngocthanhtamofficial/video/7536104650567585031,ngocthanhtamofficial,Ngọc Thanh Tâm,nhạc nền  - Ngọc Thanh Tâm,/music/nhạc-nền-Ngọc-Thanh-Tâm-7536104682691791633?lang=eng,130800.00000000001,650.0,2169.0
,เมื่อคู่รักทะเลาะกัน,"['#เมื่อคู่รักทะเลาะกัน', '#คู่รักจีนทะเลาะกัน', '#คอนเทน์คนจีน', '#คลิปจีนตลก', '#คลิปคนจีนฮาๆ', '#คู่รักจีน', '#吃瓜也精彩', '#武汉乐谷HOHA音乐公园', '#武汉欢乐谷', '#夏浪狂欢节', '#你是凭实力刷到到的', '#有点意思']",https://www.tiktok.com/@livingdolls1/video/7535467992260316424,livingdolls1,Wu Yan Ni,เสียงต้นฉบับ  - Wu Yan Ni,/music/เสียงต้นฉบับ-Wu-Yan-Ni-7535468012795644688?lang=eng,377600.0,3301.0,94700.0
,Tưởng đâu lấy được giám đốc hay doanh nhân thành đạt 😀😀😀,"['#xuhuong', '#hauphuongvungchac', '#dienbienphu', '#bodoi', '#viraltiktok', '#xuhuong2025🥰']",https://www.tiktok.com/@giadinhbienphong94/video/7536781360732605704,giadinhbienphong94,Gia Đình Biên Phòng,nhạc nền  - 🎀ngocc_hanie🎀🫧🍒,/music/nhạc-nền-🎀ngocchanie🎀🫧🍒-7529511891383978768?lang=eng,3247.0,158.0,56.0
,Có ba mới nói chuyện mới dô,['#banhô'],https://www.tiktok.com/@thanhquybanho/video/7537706045515517192,thanhquybanho,Thanh Quý ( Ba Nhô ),nhạc nền  - Thanh Quý ( Ba Nhô ),/music/nhạc-nền-Thanh-Quý-Ba-Nhô-7537706099781159681?lang=eng,32500.0,242.0,3897.0
,"code là biết nói tiéng Việt ae ơi =))))) cre Phạm Ngọc Duy   Unnaked Potato Hanoi 🥔 Cheesiest, most loaded jacket potatoes in town! 🔥 📍122 Từ Hoa, Tây Hồ 🕕 5PM-11PM 📍48 Hàng Bạc, Hoàn Kiếm 🕕 6PM-2AM DM US NOW","['#hanoi', '#unnakedpotato', '#jacketpotato', '#spuds']",https://www.tiktok.com/@unnaked.potato/video/7533854952343489800,unnaked.potato,Un-naked Potato,original sound  - Un-naked Potato,/music/original-sound-Un-naked-Potato-7533854981758192401?lang=eng,61600.0,294.0,4012.0
,,"['#miecualinh', '#vtmgr', '#LearnOnTikTok']",https://www.tiktok.com/@miecualinh/video/7537676496240938258,miecualinh,Mie của Linh,nhạc nền  - Mie của Linh,/music/nhạc-nền-Mie-của-Linh-7537676531674401553?lang=eng,61300.0,531.0,32800.0
,nỗi đau mấy ai thấu=)),"['#xuhuong', '#viral', '#fyp']",https://www.tiktok.com/@nghwang05/video/7528294168142171410,nghwang05,Hòn,Lucifer's Waltz - Secession Studios,/music/Lucifer's-Waltz-6778677545794570241?lang=eng,251000.0,3901.0,32100.0
,Thừa nhận đi 👀,"['#60ztaphoa', '#streak', '#contrai', '#suthat']",https://www.tiktok.com/@60z.taphoa/video/7535374610590633224,60z.taphoa,60z Tạp Hoá,nhạc nền  - 60z Tạp Hoá,/music/nhạc-nền-60z-Tạp-Hoá-7535374658762296065?lang=eng,94800.0,3543.0,32800.0
,KHU TỰ TRỊ MỚI GIÁP RANH GIỚI ĐẮK NÔNG?,"['#chinhtri', '#tintuc', '#campuchia']",https://www.tiktok.com/@58cusutchinhtri/video/7535499152604564756,58cusutchinhtri,5͙8͙W͙I͙N͙ CÚ SÚT CHÍNH TRỊ,nhạc nền  - 5͙8͙W͙I͙N͙ CÚ SÚT CHÍNH TRỊ,/music/nhạc-nền-5͙8͙W͙I͙N͙-CÚ-SÚT-CHÍNH-TRỊ-7535499210720807697?lang=eng,9092.0,0.0,1125.0
,,"['#nothingbeatsajet2holiday', '#viral', '#fypシ', '#fypシ゚viral']",https://www.tiktok.com/@areskx777/video/7535273606968855863,areskx777,Ares911,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,/music/Jet2-Advert-7398162320411429664?lang=eng,6600000.0,17900.0,2700000.0
,Tại nó vướng víu quá mà 😅😅😅,"['#ĐạiAn', '#LouisA', '#funny']",https://www.tiktok.com/@dai.an.louis.a/video/7536522880897518855,dai.an.louis.a,Đại An (Louis A),nhạc nền  - Đại An (Louis A),/music/nhạc-nền-Đại-An-Louis-A-7536522902369094416?lang=eng,33900.0,427.0,3391.0
,Có đứa bạn ADHD,['#phucdongphuc'],https://www.tiktok.com/@phuc_nguyenhuu0/video/7534296809825373458,phuc_nguyenhuu0,Phúc đồng phục,nhạc nền  - Phúc đồng phục,/music/nhạc-nền-Phúc-đồng-phục-7534296829933570833?lang=eng,395700.0,22100.0,181700.0
,Kệ mình nhắm mắt yêu luôn,[],https://www.tiktok.com/@liemraxci.2k/video/7536526369908411655,liemraxci.2k,Liêm Raxci 🌾,nhạc nền  - HANA CẨM TIÊN,/music/nhạc-nền-HANA-CẨM-TIÊN-7534344342446983937?lang=eng,39300.0,378.0,833.0
,Vậy thôi e cứ bước đi 😌,[],https://www.tiktok.com/@minhcong369/video/7537704367906917639,minhcong369,Minh Công,nhạc nền - 🌷NờUyên🌷 - Minn 🐱 💫,/music/nhạc-nền-🌷NờUyên🌷-7532708144963767057?lang=eng,46400.0,1007.0,1848.0
,Thôi zồi chuyển này toang ùi.,"['#hottiktok_xuhuong😍😍', '#xuhuongtiktokk', '#hottrend', '#hottiktok_xuhuong']",https://www.tiktok.com/@bialu_81/video/7537050209654721800,bialu_81,Bia lu 81,nhạc nền  - Một Chút Tình Ca,/music/nhạc-nền-Một-Chút-Tình-Ca-7209863854267206426?lang=eng,15900.0,408.0,1300.0
